"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_response","correct_response_1","count_Conditioning_1_2","count_MEMO","count_conditions","count_correctanswer","count_counter1_1_1","count_counter2_2_1","count_experiment","count_fixation_cross","count_instructions","count_iti_n_imageposition","count_keepitup","count_logger_dec_2","count_loop","count_new_reset_feedback_1_2","count_response_1","count_sequence","count_stims","counter","datetime","description","disable_garbage_collection","dur","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_MEMO","logfile","mouse_backend","old","opensesame_codename","opensesame_version","pos1","pos2","pp","repeat_cycle","response","response_instructions","response_response_1","response_time","response_time_instructions","response_time_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim1","stim2","subject_nr","subject_parity","t1","time_Conditioning_1_2","time_MEMO","time_conditions","time_correctanswer","time_counter1_1_1","time_counter2_2_1","time_experiment","time_fixation_cross","time_instructions","time_iti_n_imageposition","time_keepitup","time_logger_dec_2","time_loop","time_new_reset_feedback_1_2","time_response_1","time_sequence","time_stims","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"81.81818181818181","81.81818181818181","1197.4925545509905","1197.4925545509905","white","psycho","psycho","psycho","0","uniform","1","undefined","right","1","NA","0","0","10","NA","NA","0","10","0","10","10","10","NA","NA","10","10","10","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","2121.328718434604","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","10","10","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","256","-256","2","0","right","right","right","1078.5811000387184","570.2491999836639","1078.5811000387184","2","psycho","1024","2","48000","-16","experiment","lawnmower.jpg","g_garden_1280_2.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","57553.22739999974","NA","NA","7694.6098000044","57564.67689998681","8104.092399997171","57553.2067999593","60774.6072000009","62191.54929998331","NA","NA","59695.00949996291","57553.13479999313","59694.73079999443","Semantic link","9","13172.418100060895","11","yes","1024"
"83.33333333333333","83.33333333333333","1202.203666670054","1202.203666670054","white","psycho","psycho","psycho","0","uniform","1","undefined","right","1","NA","0","0","11","NA","NA","0","11","0","11","11","11","NA","NA","11","11","11","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1904.6260869508155","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","11","11","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","256","-256","2","0","right","right","right","1254.0258999797516","570.2491999836639","1254.0258999797516","2","psycho","1024","2","48000","-16","experiment","hardhat02.jpg","d_dining_room_indoor_0582.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","62569.34479996562","NA","NA","7694.6098000044","62593.67669996573","8104.092399997171","62569.32319997577","65761.92249997985","67003.45650000963","NA","NA","64507.3556000134","62569.253299967386","64507.228299975395","Semantic link","10","14426.444000040647","12","yes","1024"
"84.61538461538461","84.61538461538461","1189.032738464168","1189.032738464168","white","psycho","psycho","psycho","0","uniform","1","undefined","right","1","NA","0","0","12","NA","NA","0","12","0","12","12","12","NA","NA","12","12","12","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1914.6660428784637","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","12","12","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","-256","256","2","0","right","right","right","1030.981599993538","570.2491999836639","1030.981599993538","2","psycho","1024","2","48000","-16","experiment","martiniglass01b.jpg","c_classroom_sala02.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","67359.09400001401","NA","NA","7694.6098000044","67372.7037999779","8104.092399997171","67359.06479996629","70334.97989998432","71799.80219999561","NA","NA","69303.45339997439","67358.99410001002","69303.24799998198","Semantic link","11","15457.425600034185","13","yes","1024"
"78.57142857142857","78.57142857142857","1282.3194142880052","1282.3194142880052","white","psycho","psycho","psycho","0","uniform","0","undefined","left","0","NA","0","0","13","NA","NA","0","13","0","13","13","13","NA","NA","13","13","13","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1990.4312798921922","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","13","13","D:\Users\install\SemLink\quickrun.csv","psycho","0","Lentiform Loewenfeld","3.3.10","-256","256","2","0","None","right","None","2495.046199997887","570.2491999836639","2495.046199997887","2","psycho","1024","2","48000","-16","experiment","rainboot.jpg","Tennis_CourtCC.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","72213.11319997767","NA","NA","7694.6098000044","72236.48139997385","8104.092399997171","72213.08949997183","76744.1061999998","76744.1758000059","NA","NA","74248.83669998962","72212.97739999136","74248.44080000184","Semantic link","11","17952.47180003207","14","yes","1024"
"80","80","1307.503793334278","1307.503793334278","white","psycho","psycho","psycho","0","uniform","1","undefined","left","1","NA","0","0","14","NA","NA","0","14","0","14","14","14","NA","NA","14","14","14","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","2053.455799508679","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","14","14","D:\Users\install\SemLink\quickrun.csv","psycho","0","Lentiform Loewenfeld","3.3.10","-256","256","2","0","left","right","left","1660.0850999820977","570.2491999836639","1660.0850999820977","2","psycho","1024","2","48000","-16","experiment","callbell.jpg","c_classroom_sala02.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","77173.64689998794","NA","NA","7694.6098000044","77197.80500000343","8104.092399997171","77173.62509999657","80922.37119999481","81757.89040001109","NA","NA","79261.37480000034","77173.5468999832","79261.24019996496","Semantic link","12","19612.55690001417","15","yes","1024"
"81.25","81.25","1318.0961562538869","1318.0961562538869","white","psycho","psycho","psycho","0","uniform","1","undefined","left","1","NA","0","0","15","NA","NA","0","15","0","15","15","15","NA","NA","15","15","15","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1851.5924672545661","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","15","15","D:\Users\install\SemLink\quickrun.csv","psycho","0","Lentiform Loewenfeld","3.3.10","256","-256","2","0","left","right","left","1476.9816000480205","570.2491999836639","1476.9816000480205","2","psycho","1024","2","48000","-16","experiment","downhillski.jpg","courtroomCC.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","82145.42640000582","NA","NA","7694.6098000044","82159.97109998716","8104.092399997171","82145.36799996858","85501.66740000714","86520.63619997352","NA","NA","84023.79179996205","82145.27390000876","84023.67739996407","Semantic link","13","21089.53850006219","16","yes","1024"
"76.47058823529412","76.47058823529412","1387.3283000019214","1387.3283000019214","white","psycho","psycho","psycho","0","uniform","0","undefined","right","0","NA","0","0","16","NA","NA","0","16","0","16","16","16","NA","NA","16","16","16","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1726.4049517965573","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","16","16","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","-256","256","2","0","None","right","None","2495.042599970475","570.2491999836639","2495.042599970475","2","psycho","1024","2","48000","-16","experiment","television.jpg","l_living_room_living53.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","86981.58949997742","NA","NA","7694.6098000044","87005.78529998893","8104.092399997171","86981.56629997538","91249.27809997462","91249.35220001498","NA","NA","88753.91279999167","86981.48519999813","88753.42019996606","Semantic link","13","23584.581100032665","17","yes","1024"
"77.77777777777777","77.77777777777777","1368.582327782254","1368.582327782254","white","psycho","psycho","psycho","0","uniform","1","undefined","left","1","NA","0","0","17","NA","NA","0","17","0","17","17","17","NA","NA","17","17","17","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","2260.2230104815803","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","17","17","D:\Users\install\SemLink\quickrun.csv","psycho","0","Lentiform Loewenfeld","3.3.10","-256","256","2","0","left","right","left","1049.900800047908","570.2491999836639","1049.900800047908","2","psycho","1024","2","48000","-16","experiment","webcam.jpg","Stavronikita_BeachCC.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","91664.9413999985","NA","NA","7694.6098000044","91685.10239996249","8104.092399997171","91664.91960000712","95016.24590001302","96462.78130001156","NA","NA","93965.74039995903","91664.83849997167","93965.16809996683","Semantic link","14","24634.481900080573","18","yes","1024"
"78.94736842105263","78.94736842105263","1358.9237947415218","1358.9237947415218","white","psycho","psycho","psycho","0","uniform","1","undefined","right","1","NA","0","0","18","NA","NA","0","18","0","18","18","18","NA","NA","18","18","18","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","2013.7443264087442","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","18","18","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","256","-256","2","0","right","right","right","1185.0702000083402","570.2491999836639","1185.0702000083402","2","psycho","1024","2","48000","-16","experiment","cookingpot.jpg","k_kitchen_IMG_3734.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","96887.08570000017","NA","NA","7694.6098000044","96896.94299997063","8104.092399997171","96887.0631000027","100113.48679999355","101423.62720001256","NA","NA","98927.09289997583","96886.98999996996","98926.94119998487","Semantic link","15","25819.552100088913","19","yes","1024"
"75","75","1375.333000003593","1375.333000003593","white","psycho","psycho","psycho","0","uniform","0","undefined","left","0","NA","0","0","19","NA","NA","0","19","0","19","19","19","NA","NA","19","19","19","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1925.6403580684298","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","19","19","D:\Users\install\SemLink\quickrun.csv","psycho","0","Lentiform Loewenfeld","3.3.10","-256","256","2","0","right","right","right","1687.1078999829479","570.2491999836639","1687.1078999829479","2","psycho","1024","2","48000","-16","experiment","electrictoothbrush01c.jpg","Farm_Kartoffelfeld_SchwedenCC.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","101850.34399997676","NA","NA","7694.6098000044","101876.19959999574","8104.092399997171","101850.29759997269","105517.388999986","106325.76019997941","NA","NA","103829.67479998479","101850.13189999154","103829.36759997392","Semantic link","15","27506.66000007186","20","yes","1024"
